idx,YOLO_pred,LSTM_pred,YOLO_true,LSTM_true
1710,6,2,6,2
1715,6,2,6,2
1720,6,2,6,2
1725,6,2,6,2
1730,6,2,6,2
1735,6,2,6,2
1740,6,2,6,2
1745,6,2,6,2
1750,6,2,6,2
1755,6,2,6,2
1760,6,2,6,2
1765,6,2,6,2
1770,4,2,6,2
1775,6,2,6,2
1780,6,2,6,2
1785,6,2,6,2
1790,3,2,6,2
1795,5,2,5,1
1800,6,1,5,1
1805,3,1,5,1
1810,3,1,3,1
1815,3,1,3,1
1820,3,1,3,1
1825,3,1,3,1
1830,3,1,3,1
1835,3,1,3,1
1840,3,1,3,1
1845,3,1,3,1
1850,3,1,3,1
1855,3,1,3,1
1860,3,1,3,1
1865,3,1,3,1
1870,3,1,3,1
1875,3,1,3,1
1880,3,1,3,1
1885,3,1,3,1
1890,3,1,3,1
1895,3,1,3,1
1900,3,1,3,1
1905,3,1,3,1
1910,3,1,3,1
1915,3,1,3,1
1920,3,1,3,1
1925,3,1,3,1
1930,4,1,4,1
1935,4,1,4,1
1940,4,1,4,1
1945,4,1,4,1
1950,4,1,4,1
1955,4,1,4,1
1960,4,1,4,1
1965,4,1,4,1
1970,6,1,4,1
1975,6,1,6,2
1980,6,2,6,2
1985,6,2,6,2
1990,6,2,6,2
1995,6,2,6,2
2000,6,2,6,2
2005,6,2,6,2
2010,6,2,6,2
2015,6,2,6,2
2020,6,2,6,2
2025,6,2,6,2
2030,6,2,6,2
2035,6,2,6,2
2040,6,2,6,2
2045,6,2,6,2
2050,6,2,6,2
2055,6,2,6,2
2060,6,2,6,2
2065,6,2,6,2
2070,6,2,6,2
2075,6,2,6,2
2080,6,2,6,2
2085,6,2,6,2
2090,6,2,6,2
2095,6,2,6,2
2100,6,2,6,2
2105,6,2,6,2
2110,6,2,6,2
2115,1,2,6,2
2120,1,2,6,2
2125,1,0,6,2
2130,6,0,2,0
2135,6,0,2,0
2140,2,0,2,0
2145,2,0,2,0
2150,0,0,2,0
2155,0,0,2,0
2160,0,0,0,0
2165,0,0,0,0
2170,0,0,0,0
2175,0,0,0,0
2180,0,0,0,0
2185,0,0,0,0
2190,0,0,0,0
2195,0,0,0,0
2200,0,0,0,0
2205,0,0,0,0
2210,0,0,0,0
2215,0,0,0,0
2220,0,0,0,0
2225,0,0,0,0
2230,0,0,0,0
2235,0,0,0,0
2240,0,0,0,0
2245,0,0,0,0
2250,0,0,0,0
2255,0,0,0,0
2260,0,0,0,0
2265,0,0,0,0
2270,0,0,0,0
2275,0,0,0,0
2280,1,0,0,0
2285,1,0,1,0
2290,1,0,1,0
2295,1,0,1,0
2300,1,0,1,0
2305,1,0,1,0
2310,1,0,1,0
2315,6,0,1,0
2320,6,0,6,2
2325,6,2,6,2
2330,6,2,6,2
2335,6,2,6,2
2340,6,2,6,2
2345,6,2,6,2
2350,6,2,6,2
2355,6,2,6,2
2360,6,2,6,2
2365,6,2,6,2
2370,6,2,6,2
2375,6,2,6,2
2380,6,2,6,2
2385,6,2,6,2
2390,6,2,6,2
2395,6,2,6,2
2400,6,2,6,2
